Event Details:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B16-27746,1,Assigned Detail,Telephone,7/19/16,1:00,No,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Mentioned,No,No,,1,31,1,,,,,,,
B16-27759,1,Welfare Check,Telephone,7/20/16,1:29,No,No,Yes,No,No,No,Intoxicated/Mentally Disturbed,No,No,Involved,No,No,,1,31,1,,,,,,,
B16-27826,3,Service,Telephone,7/20/16,12:30,No,No,Yes,No,No,No,Unknown,Yes,No,Arrestee,No,No,,1,38,1,,,,,,,
B16-28307,4,Accident,911,7/23/16,15:08,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,47,1,,,,,,,
B16-28665,1,Fight,911,7/25/16,23:50,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,,1,55,1,,,,,,,
B16-28792,5,Warrant Service,Telephone,7/26/16,22:30,No,No,Yes,No,No,No,Normal,No,No,Arrestee,No,No,,1,29,,,1,,,,,
B16-29223,5,Robbery,911,9/15/16,16:30,No,No,Yes,No,No,No,Normal,Yes,No,Suspect,No,No,,1,32,1,,,,,,,
B16-29526,5,Weapons,911,8/1/16,2:41,No,No,Yes,No,No,No,"Normal, Intoxicated",Yes,No,"Mentioned, Arrestee",No,No,1,1,"20, 28",2,,,,,,,
B16-29766,2,Domestic,Telephone,8/2/16,14:28,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,,1,47,1,,,,,,,
B16-30045,3,Alarm,Telephone,8/4/16,4:59,No,No,Yes,No,No,Yes,Intoxicated,No,No,Arrestee,No,No,,1,20,1,,,,,,,
B16-30056,5,Panhandling,Telephone,8/4/16,7:11,Yes,No,Yes,No,No,No,Mentally Disturbed,No,No,Arrestee,No,No,,1,31,1,,,,,,,
B16-30185,3,Suspicious Activity,Officer Report,8/4/16,23:45,Yes,No,No,No,No,Yes,Intoxicated,No,No,Arrestee,No,No,,1,22,1,,,,,,,
B16-30377,3,Assault,911,8/6/16,6:00,No,No,Yes,No,No,No,Normal,No,No,"Contact, Arrestee, Arrestee, Contact, Arrestee",No,No,2,3,"26, 29, 49, 26, 27",3,,2,,,,,
B16-30445,5,Burglary,Telephone,8/6/16,15:48,No,No,Yes,No,No,No,Normal,No,No,Involved,No,No,,1,49,1,,,,,,,
B16-30587,1,Disturbance,Telephone,8/7/16,21:00,No,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Involved,No,No,,1,38,1,,,,,,,
B16-30870,4,Robbery,911,8/9/16,16:03,No,No,Yes,No,No,No,Normal,Yes,No,Mentioned,No,No,,1,45,,,1,,,,,
B16-31181,1,Suspicious Activity,Officer Report,8/11/16,22:43,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,1,,43,1,,,,,,,
B16-31351,1,Fight,911,8/12/16,20:44,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,19,1,,,,,,,
B16-31635,2,Welfare Check,Telephone,8/14/16,16:45,Yes,No,No,No,No,No,Mentally Disturbed,No,No,Involved,No,No,,1,90,,,,,,,,
B16-31782,5,Burglary,Telephone,8/15/16,18:02,No,No,Yes,No,No,No,Normal,No,No,"Involved, Involved, Involved, Involved",No,No,1,3,"25, 30, 27, 26",4,,,,,,,
B16-31805,5,Warrant Service,Telephone,8/15/16,21:00,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,,1,39,1,,,,,,,
B16-32038,3,Weapons,911,8/16/16,22:30,No,No,Yes,No,No,No,Normal,Yes,No,Victim,No,No,1,,28,,,1,,,,,
B16-32170,1,Disturbance,Telephone,8/17/16,14:52,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,58,1,,,,,,,
B16-32381,3,Warrant Service,Telephone,8/18/16,15:30,Yes,No,No,No,No,No,Normal,No,No,Arrestee,No,No,1,,38,1,,,,,,,
B16-32473,4,Suspicious Activity,Telephone,8/19/16,22:00,Yes,No,No,No,No,No,Mentally Disturbed,Yes,No,Suspect,No,No,,1,19,1,,,,,,,
B16-32750,2,Weapons,911,8/20/16,2:50,No,No,Yes,No,No,No,Intoxicated,Yes,No,"Arrestee, Arrestee, Involved, Involved",No,No,1,2,"19, 20, 22, 20",2,,,,,,,
B16-32952,IU,Fight,Officer Report,8/21/16,1:30,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,22,1,,,,,,,
B16-33060,1,Fight,Officer Report,8/21/16,16:45,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,23,,,1,,,,,
B16-33130,2,Vehicle Theft,911,8/22/16,4:33,No,No,Yes,No,No,No,Unknown,Yes,No,Arrestee,No,No,,1,32,1,,,,,,,
B16-33251,5,Disturbance,911,8/22/16,23:00,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,Yes,No,,1,23,,,1,,,,,
B16-33267,5,Domestic,Telephone,8/23/16,3:12,Yes,No,No,No,No,No,Normal,No,Yes,Arrestee,No,No,,1,23,,,1,,,,,
B16-33297,3,Restrain Order Violence,Telephone,9/2/16,11:00,No,No,Yes,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,34,1,,,,,,,
B16-33496,3,Weapons,911,8/24/16,14:56,No,No,Yes,No,No,No,Mentally Disturbed,Yes,No,Involved,No,No,,1,31,1,,,,,,,
B16-33550,2,Weapons,911,8/24/16,20:20,No,Yes,Yes,No,No,No,Normal,Yes,No,Arrestee,No,No,,1,46,,,1,,,,,
B16-33709,4,Suspicious Activity,Telephone,8/25/16,20:20,Yes,No,No,No,No,Yes,Unknown,No,No,Arrestee,Yes,No,1,,26,1,,,,,,,
B16-34092,1,Drunk,Telephone,8/27/16,23:45,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,1,,23,1,,,,,,,
B16-34435,4,Alarm,Telephone,8/30/16,3:44,No,No,Yes,No,No,Yes,Normal,Yes,No,Arrestee,No,No,,1,44,1,,,,,,,
B16-34659,3,Welfare Check,Telephone,8/31/16,14:27,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,36,1,,,,,,,
B16-34714,1,Theft,Telephone,8/31/16,20:56,Yes,No,No,No,No,Yes,Intoxicated,No,No,Arrestee,No,No,,1,38,1,,,,,,,
B16-34809,1,Alarm,Telephone,9/1/16,15:17,Yes,No,No,No,No,Yes,Unknown,No,No,Arrestee,No,No,,1,33,1,,,,,,,
B16-34809,1,Alarm,Telephone,9/1/16,15:17,Yes,No,No,No,No,Yes,Intoxicated,No,No,Arrestee,No,No,,1,33,1,,,,,,,
B16-34989,5,Service,Telephone,9/2/16,16:39,Yes,No,No,No,No,No,Intoxicated,No,No,CAD,No,No,,1,23,1,,,,,,,
B16-35025,5,Warrant Service,Telephone,9/2/16,21:00,Yes,No,Yes,No,No,Yes,Normal,Yes,No,"Mentioned, Mentioned, Arrestee",No,No,,3,"20, 18, 19",,,3,,,,,
B16-35058,2,Trespass,Telephone,9/3/16,0:03,Yes,No,No,No,No,Yes,Intoxicated,No,Yes,Arrestee,No,No,,1,19,1,,,,,,,
B16-35387,2,Sex Assault,Telephone,9/5/16,5:40,No,No,Yes,No,No,No,Normal,No,No,Arrestee,No,No,,1,28,1,,,,,,,
B16-35588,1,Warrant Service,Telephone,9/6/16,13:50,Yes,Yes,No,No,No,Yes,Unknown,No,Yes,Arrestee,No,Yes,,1,36,1,,,,,,,
B16-35629,5,Harassment,911,9/6/16,23:53,No,Yes,Yes,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,50,,,1,,,,,
B16-35693,4,Disturbance,Telephone,9/7/16,12:45,Yes,No,No,No,No,Yes,Normal,No,No,Unknown,No,No,,1,Unknown,,,1,,,,,
B16-35851,4,Assault,Telephone,9/8/16,15:08,Yes,No,No,No,No,No,Normal,No,Yes,Arrestee,No,No,,1,42,1,,,,,,,
B16-36042,3,Accident LSA,Telephone,9/9/16,16:00,Yes,No,Yes,No,Yes,No,Intoxicated,No,No,Arrestee,No,No,,1,31,,1,,,,,,
B16-36100,1,Suspicious Activity,Officer Report,9/9/16,21:03,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,51,1,,,,,,,
B16-36238,1,Service,911,9/10/16,16:11,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,,1,36,,,1,,,,,
B16-36268,1,Disturbance,911,9/10/16,19:39,Yes,No,No,No,No,No,Intoxicated,No,Yes,Arrestee,No,No,1,,21,1,,,,,,,
B16-36449,4,Domestic,Telephone,9/12/16,23:34,No,Yes,No,No,No,Yes,Intoxicated,No,Yes,Unknown,No,No,,1,21,1,,,,,,,
B16-36605,4,Disturbance,911,9/13/16,3:25,No,Yes,Yes,No,No,Yes,Intoxicated,No,No,Arrestee,No,No,,1,34,1,,,,,,,
B16-37121,5,Juvenile,Telephone,9/16/16,17:43,Yes,No,No,No,No,No,Normal,No,No,Juv Referral,No,No,1,,14,1,,,,,,,
B16-37220,3,Sex Assault,911,9/17/16,5:30,No,No,Yes,No,No,No,Intoxicated,No,No,Suspect,No,No,,1,21,1,,,,,,,
B16-37621,1,Fight,Telephone,9/19/16,20:45,Yes,No,No,No,No,No,Intoxicated,No,Yes,Suspect,No,No,,1,55,1,,,,,,,
B16-37621,1,Fight,Telephone,9/19/16,20:45,Yes,No,No,No,No,No,Intoxicated,No,Yes,Suspect,No,Yes,,1,55,1,,,,,,,
B16-37639,1,Suspicious Activity,Telephone,9/19/16,23:04,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,27,1,,,,,,,
B16-37815,3,Burglary,Telephone,9/21/16,0:45,No,No,Yes,No,No,No,Intoxicated,Yes,No,Unknown,No,No,,1,36,1,,,,,,,
B16-37820,2,Domestic,Telephone,9/21/16,3:04,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,21,1,,,,,,,
B16-38659,3,Robbery,Telephone,9/26/16,20:05,No,No,Yes,No,No,No,Normal,No,No,"Mentioned, Mentioned, Arrestee",No,No,2,1,"14. 21, 26",,,3,,,,,
B16-38896,5,Welfare Check,Telephone,9/28/16,17:20,Yes,No,No,No,No,No,Intoxicated,No,No,Arrestee,No,No,,1,31,1,,,,,,,
B16-39014,3,Warrant Service,911,9/29/16,14:00,Yes,No,No,No,No,Yes,Normal,No,Yes,Arrestee,No,No,1,,31,1,,,,,,,
