Event Details:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B17-22790,4,MENTAL HEALTH,TELEPHONE,6/12/17,20:13,YES,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,MENTIONED ,NO,NO,,1,22,1,,,,,,,
B17-22941,5,WEAPONS ,911 LINE,6/13/17,19:11,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,1,,38,1,,,,,,,
B17-23980,5,WELFARE CHECK IP,911 LINE,6/20/2017,10:03,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B17-23945,5,WEAPONS IP ,911 LINE ,6/20/2017,1:26,NO,NO,YES,NO,NO,YES,NORMAL ,YES,NO,ARRESTEE,NO,NO,1,,15,1,,,,,,,
B17-24604,3,DISTURBANCE,911 LINE,6/23/2017,23:26,YES,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED ,NO,NO,,1,25,1,,,,,,,
B17-24602,5,FIGHT ,911 LINE ,6/23/2017,23:07,NO,NO,YES,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE  ,NO,NO,,1,29,1,,,,,,,
B17-24622,4,FOLLOW UP ,TELEPHONE,6/24/2017,2:06,NO,NO,NO,YES,NO,YES,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-24946,MCSO,SERVICE IP,TELEPHONE,6/26/2017,8:35,YES,NO,YES,NO,YES,YES,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,26,1,,,,,,,
B17-26320,4,WELFARE CHECK IP,911 LINE,7/4/2017,11;07,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,,1,48,1,,,,,,,
B17-26316,4,WELFARE CHECK IP ,911 LINE ,7/4/17,10:37,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-26785,2,THEFT IP ,TELEPHONE ,7/7/17,7:35,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,14,,,1,,,,,
