Event Detail:,,,,,,Types of Force Used:,,,,,,Suspect Condition:,,,,Officer Condition:,,Suspect Demographics:,,,,,,,,,,
Event Number,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Caucasian, Non-Hispanic","Caucasian, Hispanic","African American, Non-Hispanic","African American, Hispanic","Indian/Alaskan Native, Non-Hispanic","Indian/Alaskan Native, Hispanic","Asian/Pacific Island, Non-Hispanic","Asian/Pacific Islander, Hispanic"
B17-08139,3,WARRANT SERVICE,TELEPHONE,3/4/2017,21:42,YES,NO,NO,NO,NO,NO,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B17-08025,1,SUSP ACT,TELEPHONE,3/4/2017,255,YES,YES,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,,,,,
B17-08932,1,BURGLARY ,TELEPHONE,3/10/2017,605,YES,NO,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,YES,YES,,1,26,,,1,,,,,
B17-09377,4,WELFARE CHK,911 LINE,3/13/2017,15:50,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,MENTIONED,NO,NO,,1,56,1,,,,,,,
B17-10269,1,VEH THEFT,TELEPHONE,3/20/2017,2:57,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,58,,,1,,,,,
B17-10661,5,BURGLARY IP,TELEPHONE,3/22/2017,17:15,YES,NO,YES,NO,NO,NO,"NORMAL, NORMAL, NORMAL",YES,NO,"MENTIONED, MENTIONED, VICTIM",NO,NO,,3,"24, 19, 19",3,,,,,,,
B17-10746,1,ASSAULT ,TELEPHONE,3/23/2017,19:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,YES,NO,,1,52,1,,,,,,,
B17-11131,4,RUNAWAY,TELEPHONE,3/25/2017,1:56,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,16,1,,,,,,,
B17-11047,1,DISTURBANCE,OFFICER REPORT,3/25/2017,11:35,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,46,1,,,,,,,
B17-11216,5,DOMESTIC ,TELEPHONE,3/26/2017,17:00,YES,YES,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,24,1,,,,,,,
B17-11370,3,BURGLARY ,911 LINE,3/27/2017,21:42,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B17-11406,4,THEFT,OFFICER REPORT,3/28/2017,8:35,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,58,1,,,,,,,
B17-11457,3,WARRANT SERVICE,TELEPHONE,3/28/2017,16:20,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,37,1,,,,,,,
B17-03847,5,ROBBERY,911 LINE,3/28/2017,18:00,NO,YES,NO,NO,NO,NO,"NORMAL, NORMAL, NORMAL",NO,NO,"ARRESTEE, MENTIONED, ARRESTEE  ",NO,NO,1,2,"38, 38, 31",1,,,,,,,
B17-11676,5,WELFARE CHK ,911 LINE ,3/29/2017,22:25,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED,NO,NO,1,,18,1,,,,,,,
B17-11848,5,DISTURBANCE,911 LINE,3/31/2017,0:10,NO,YES,YES,NO,NO,NO,"NORMAL, NORMAL, NORMAL, NORMAL, NORMAL, NORMAL, NORMAL ",YES,YES,"ARRESTEE, INVOLVED, ARRESTEE, ARRESTEE, INVOLVED, INVOLVED, INVOLVED ",NO,YES,5,2,"21, 21,40, 40, 18, 21, 18",7,,,,,,,
